time,pupil_size,gsr,ppg,gsr_filt,ppg_filt,pupil_size_z,gsr_filt_z,ppg_filt_z,pupil_baseline,delta_pupil,pupil_smoothed
2.4000000000005457,3.31,0.42,0.004026087490029578,0.41999999999999965,0.004007377373795406,-0.18585796687739295,0.1903890494749795,-1.3265771681935872,3.31,0.0,0.0
2.5000000000005684,3.31,0.42,0.0041938431624951806,0.41999999999999965,0.004210282904023692,-0.18585796687739295,0.1903890494749795,-1.325987865767919,3.31,0.0,0.0
2.600000000000591,3.31,0.42,0.004361598834960784,0.41999999999999965,0.0043777730083940725,-0.18585796687739295,0.1903890494749795,-1.3255014210432734,3.31,0.0,0.0
2.700000000000614,3.31,0.42,0.004529354507426387,0.41999999999999965,0.00452901706928773,-0.18585796687739295,0.1903890494749795,-1.325062160014497,3.31,0.0,0.0
2.8000000000006366,3.31,0.42,0.004697110179891989,0.41999999999999965,0.0046894148494263585,-0.18585796687739295,0.1903890494749795,-1.324596313663236,3.31,0.0,0.0
2.9000000000006594,3.31,0.42,0.004864865852357593,0.41999999999999965,0.0048615363039383325,-0.18585796687739295,0.1903890494749795,-1.324096418019488,3.31,0.0,0.0
3.000000000000682,3.31,0.42,0.0050326215248231955,0.41999999999999965,0.005034701370811067,-0.18585796687739295,0.1903890494749795,-1.3235934913923315,3.31,0.0,0.0
3.100000000000705,3.31,0.42,0.005200377197288798,0.41999999999999965,0.005202872269672847,-0.18585796687739295,0.1903890494749795,-1.3231050694231787,3.31,0.0,0.0
3.2000000000007276,3.31,0.42,0.005368132869754402,0.41999999999999965,0.00536829355038966,-0.18585796687739295,0.1903890494749795,-1.322624633222776,3.31,0.0,0.0
3.3000000000007503,3.31,0.42,0.005535888542220004,0.41999999999999965,0.005534797833698842,-0.18585796687739295,0.1903890494749795,-1.322141051637159,3.31,0.0,0.0
3.400000000000773,3.31,0.42,0.005703644214685607,0.41999999999999965,0.005703075063874376,-0.18585796687739295,0.1903890494749795,-1.3216523208479312,3.31,0.0,0.0
3.500000000000796,3.31,0.42,0.0058713998871512095,0.41999999999999965,0.005871650619082109,-0.18585796687739295,0.1903890494749795,-1.3211627236275865,3.31,0.0,0.0
