onset_idx,offset_idx,onset_time,offset_time,amplitude,duration
5277,5285,21.179926,21.216955,9.833046323495074,0.03702900000000042
5290,5292,21.236968,21.241978,20.245638147512167,0.005009999999998627
5297,5303,21.263468,21.286929,0.2465948093533195,0.023461000000001064
5307,5348,21.305203,21.466808,9.865852421357214,0.16160500000000155
5350,5359,21.476831,21.506805,35.70627955976371,0.02997399999999928
5361,5371,21.516799,21.556763,0.6314707039918795,0.03996400000000122
5373,5381,21.566759,21.596732,39.22524824650572,0.02997299999999825
5384,5386,21.606755,21.616744,4.863882887416184,0.009989000000000914
5389,5397,21.626735,21.656709,40.812203499076105,0.02997399999999928
5399,5407,21.666703,21.696677,0.20083824337013106,0.02997400000000283
5409,5419,21.706667,21.746666,0.45738520144403444,0.03999900000000167
5421,5447,21.756657,21.856603,0.40707032561954204,0.0999459999999992
5449,5450,21.866597,21.876581,39.280122657649635,0.00998400000000288
5452,5454,21.876588,21.886582,0.15721847855770643,0.009993999999998948
5457,5473,21.898055,21.966548,1.102159698047429,0.06849300000000014
5477,5480,21.980541,21.99652,9.90007701990242,0.01597900000000152
5482,5500,21.999879,22.076453,9.848977662681545,0.07657400000000081
5502,5503,22.080423,22.086475,0.7358802959721098,0.00605200000000039
5506,5515,22.096465,22.136429,0.76,0.03996400000000122
5517,5531,22.144707,22.196385,1.5255035234308705,0.051677999999999
5533,5553,22.206375,22.28634,3.29306895025159,0.07996499999999784
5555,5556,22.294721,22.296329,1.890207396028277,0.001608000000000942
5559,5568,22.306318,22.346318,33.56304968637385,0.03999999999999915
5570,5584,22.35631,22.40627,27.638568248916226,0.04995999999999867
5586,5599,22.41626,22.466219,4.934426706315538,0.049958999999997644
5601,5634,22.476241,22.606165,35.9168691063127,0.12992399999999904
5636,5659,22.616154,22.706076,33.43468883001605,0.08992199999999784
5661,5665,22.716072,22.736081,0.3840831680769154,0.020008999999998167
5669,5682,22.746075,22.796036,33.45914454988352,0.0499609999999997
5686,5686,22.816017,22.816017,0.0,0.0
5688,5689,22.818539,22.826008,1.0992106258583931,0.007469000000000392
5691,5695,22.836029,22.846027,0.953553863187602,0.009997999999999507
5698,5709,22.861095,22.905971,0.5984321181220139,0.044876000000002136
5711,5719,22.915967,22.945941,0.8164067184926886,0.02997400000000283
5721,5729,22.955931,22.985933,16.7530832612985,0.03000199999999964
5732,5742,22.99593,23.035894,4.9285261742228785,0.03996399999999767
