trial_index,stim_onset,saccade_onset,latency,amplitude
79,652.468,652.555962,0.08796200000006138,10.026694370529103
80,653.468,653.470936,0.002936000000090644,0.4375478043724036
81,653.468,653.470936,0.002936000000090644,0.4375478043724036
82,654.467,654.470346,0.003345999999964988,5.595604078426207
83,654.467,654.470346,0.003345999999964988,5.595604078426207
84,665.255,665.283847,0.02884700000004159,294.7122175954027
85,665.255,665.283847,0.02884700000004159,294.7122175954027
86,666.266,666.273236,0.007236000000034437,33.26367850388769
87,666.266,666.273236,0.007236000000034437,33.26367850388769
88,667.265,667.322603,0.05760299999997187,33.850374444494705
89,667.265,667.322603,0.05760299999997187,33.850374444494705
90,668.265,668.641839,0.37683900000001813,5.0301511905707175
91,668.265,668.641839,0.37683900000001813,5.0301511905707175
92,669.265,669.281459,0.016459000000054402,0.004609772228646435
93,669.265,669.281459,0.016459000000054402,0.004609772228646435
94,670.266,670.350807,0.08480700000006891,34.02368920810911
95,670.266,670.350807,0.08480700000006891,34.02368920810911
96,690.247,690.418754,0.17175400000007812,17.415946973966133
97,690.247,690.418754,0.17175400000007812,17.415946973966133
98,710.245,710.260427,0.015427000000045155,10.262120078229449
99,710.245,710.260427,0.015427000000045155,10.262120078229449
100,730.242,730.284782,0.04278199999998833,0.016475739740600414
101,730.242,730.284782,0.04278199999998833,0.016475739740600414
102,750.238,750.242764,0.004763999999909174,43.80261407724429
103,750.238,750.242764,0.004763999999909174,43.80261407724429
104,770.236,770.260722,0.024721999999997024,0.027475807540452753
105,770.236,770.260722,0.024721999999997024,0.027475807540452753
106,790.233,790.385646,0.15264600000000428,10.204348310891783
107,790.233,790.385646,0.15264600000000428,10.204348310891783
108,810.231,810.323077,0.0920770000000175,10.089666746231016
109,810.231,810.323077,0.0920770000000175,10.089666746231016
110,830.227,830.5144,0.28740000000004784,0.30093059000374156
111,830.227,830.5144,0.28740000000004784,0.30093059000374156
112,850.225,850.442374,0.21737399999994977,42.798282675827075
113,850.225,850.442374,0.21737399999994977,42.798282675827075
114,870.222,870.260411,0.03841099999999642,34.10290299813199
115,870.222,870.260411,0.03841099999999642,34.10290299813199
116,890.22,890.227318,0.007317999999941094,10.225201373567174
117,890.22,890.227318,0.007317999999941094,10.225201373567174
118,910.217,910.217539,0.0005390000000033979,1.2238784335055506
119,910.217,910.217539,0.0005390000000033979,1.2238784335055506
120,930.214,930.484018,0.27001799999993636,3.6202533692792525
121,930.214,930.484018,0.27001799999993636,3.6202533692792525
122,950.212,950.242075,0.030075000000010732,37.25620610649989
123,950.212,950.242075,0.030075000000010732,37.25620610649989
