subject_id,trial_type,eeg_alpha,eeg_beta,eeg_theta,gsr_mean,ppg_mean,blink_rate,cognitive_load
sub-18,Stimulus/S 12,1.671337038063883e-12,5.155094556044783e-13,2.8045108706782295e-12,6.29667769853725,2707.500563091649,19.5,0
sub-18,Stimulus/S 12,1.3514341311972717e-12,5.054525249926984e-13,2.3796962590306235e-12,6.25740236102626,2715.5515626464476,9.0,0
sub-18,Stimulus/S 12,5.21808633976277e-12,2.6588570145255e-12,8.977398585880473e-12,6.180421849245788,2706.105805482224,18.5,0
sub-18,Stimulus/S 12,1.7309487718645506e-12,1.2006291406074779e-12,7.67911222595761e-12,6.239534990729704,2715.222214807626,17.5,0
sub-18,Stimulus/S 12,7.35488915816049e-13,5.290856921059272e-13,2.944992290839997e-12,6.43496089001889,2720.007420361707,17.25,0
sub-18,Stimulus/S 13,1.614471734364108e-12,5.288744955202105e-13,2.625703833319522e-12,6.717280751375877,2717.809094454902,18.75,0
sub-18,Stimulus/S 13,1.301009062711265e-12,4.281922672870861e-13,2.395903355283331e-12,6.704154411264433,2710.8281217293334,19.25,0
sub-18,Stimulus/S 13,8.607667717258439e-13,4.4774943588158096e-13,2.5614092253637026e-12,6.718480450497423,2709.1665285826984,19.5,0
sub-18,Stimulus/S 13,1.3224427314944134e-12,4.776041552954457e-13,3.7772632814644075e-12,6.807382692405207,2709.1021142175396,20.5,0
sub-18,Stimulus/S 13,8.454406287578271e-13,4.3686414787529945e-13,2.2315956150480784e-12,6.959922467693929,2708.3979762871786,19.5,0
sub-18,Stimulus/S 21,3.156873570324715e-12,1.134869377977938e-12,1.5003773948352617e-11,7.1848768322445755,2699.9615133326047,18.0,0
sub-18,Stimulus/S 21,1.2927864791557818e-11,1.030060830266416e-11,4.331397312864137e-11,7.153980122790043,2709.8330829890183,16.5,0
sub-18,Stimulus/S 21,2.8178188191711013e-12,1.1653896982087797e-12,7.209478249369708e-12,7.128605758830984,2720.2063861964198,16.25,0
sub-18,Stimulus/S 21,1.0572045576387792e-11,9.680733488121805e-12,1.6864761127082933e-11,7.105975425889927,2729.144213653618,17.0,0
sub-18,Stimulus/S 21,1.8489263915041845e-12,8.822906286614933e-13,4.114404521730654e-12,7.0775320913576545,2732.3030148224666,18.5,0
sub-18,Stimulus/S 22,1.2880532190987941e-12,6.693712488632679e-13,4.543745041207939e-12,7.04712746812534,2728.387027364253,19.5,0
sub-18,Stimulus/S 22,1.5545621882360577e-12,4.557115174364278e-13,2.391195398986455e-12,6.734135063455511,2727.524858336197,20.0,0
sub-18,Stimulus/S 22,1.348359917669043e-12,5.088448410402649e-13,3.3092438371046658e-12,6.568384807713477,2720.732175403415,18.25,0
sub-18,Stimulus/S 22,1.4285174050839364e-12,5.079594496325944e-13,2.2461117491927075e-12,6.419150114548084,2719.7844943061114,15.75,0
sub-18,Stimulus/S 22,2.843870912417582e-12,7.729089423681491e-13,1.9970816116791698e-12,6.282477253897432,2712.0655683247155,19.75,0
sub-18,Stimulus/S 22,1.6203904405586548e-12,4.654883600886922e-13,1.8981067326035694e-12,6.14402223638045,2721.994133253796,19.25,0
sub-18,Stimulus/S 22,2.6904088995243346e-12,5.026950021244892e-13,2.4648988450577116e-12,6.029572142734732,2713.6071045715134,19.25,0
sub-18,Stimulus/S 22,1.4933007487860772e-12,3.9761049477252973e-13,2.871113110111586e-12,5.97957581508401,2717.3397536846255,19.75,0
sub-18,Stimulus/S 22,4.3693658232334855e-12,5.032120192333346e-13,2.110289259573007e-12,6.553228315655157,2710.622756469086,19.5,0
sub-18,Stimulus/S 22,1.8762367424126504e-11,2.3925676762847933e-12,3.221718341619111e-11,6.315938909445308,2715.1008207908963,17.75,0
sub-18,Stimulus/S 22,2.031928325345671e-12,4.0576831130450044e-13,2.108322246456561e-12,6.231869100195502,2719.219489707652,20.0,0
sub-18,Stimulus/S 22,1.6502865855656925e-12,5.448504845256515e-13,3.82912280394325e-12,7.315368620498989,2719.6751053447574,19.5,0
sub-18,Stimulus/S 22,1.4352777047825747e-12,5.438028881071297e-13,3.7223985829486406e-12,6.905506394321219,2714.8061384556204,19.75,0
sub-18,Stimulus/S 22,9.979255546843618e-13,4.777009136405109e-13,2.3883553692190846e-12,6.673497906079205,2724.3091745618285,19.75,0
sub-18,Stimulus/S 22,1.3112767676977845e-12,4.4474331805707713e-13,3.558287583890419e-12,6.526500663385485,2703.3473205429113,12.75,0
sub-18,Stimulus/S 23,1.1547579742902262e-12,4.912514604063388e-13,3.193651549703689e-12,6.534957089623164,2709.219236499469,17.25,0
sub-18,Stimulus/S 23,1.378624715303658e-12,5.516010054079485e-13,3.449332856499043e-12,6.546615123867959,2713.372413634873,16.25,0
sub-18,Stimulus/S 23,1.3635629939439329e-12,5.21576812493906e-13,3.4191778604159487e-12,6.55740477607954,2717.641313890277,16.25,0
sub-18,Stimulus/S 23,4.673766123793827e-11,4.825597450416255e-12,2.469459629605479e-10,6.569086261225832,2716.9074771346227,17.25,0
sub-18,Stimulus/S 23,2.036178042760082e-12,9.166794355022633e-13,5.2334332455517584e-12,6.600336362671417,2712.4097844191297,18.5,0
sub-19,New Segment/,6.685589731200483e-13,3.76906252831447e-13,1.3058552759728568e-12,8.5835675747506,2713.6416331952173,15.25,0
sub-19,Comment/Active Shielding: On,6.723946640473802e-13,3.7624032763751234e-13,1.3031637839577723e-12,8.582915991278059,2714.105686957167,15.25,0
sub-19,Stimulus/S 11,1.1873444123029858e-12,6.276817770073812e-13,2.4550606892023913e-12,8.130627743836135,2723.0556707502815,15.0,0
sub-19,Stimulus/S 11,2.8978348906027177e-12,7.38613192986243e-13,4.762013915725931e-12,8.176083570812619,2723.045271641074,14.5,0
sub-19,Stimulus/S 11,3.4290625662394693e-12,6.778916873260383e-13,4.3468963624809525e-12,8.156479153374498,2720.88954851131,15.0,0
sub-19,Stimulus/S 11,3.5761840525753244e-12,6.93315078686526e-13,5.939309298136927e-12,8.068666109267665,2715.5975594968445,15.75,0
sub-19,Stimulus/S 11,3.3957654534193954e-12,7.23912791255646e-13,4.677700378173448e-12,8.039300898842978,2712.271915273135,15.5,0
sub-19,Stimulus/S 12,3.0991001056765625e-12,6.32386806284094e-13,7.857217546700316e-12,8.02238116103451,2711.3138676268436,16.75,0
sub-19,Stimulus/S 12,4.028490882790614e-12,7.419197514703466e-13,5.351675795960503e-12,7.554188652391346,2709.6612715473475,18.25,0
sub-19,Stimulus/S 12,4.551682539073344e-12,7.693367201451935e-13,4.907922316569598e-12,7.285872149020546,2713.9042749078353,18.0,0
sub-19,Stimulus/S 12,2.7827728892581146e-12,7.354059020612596e-13,3.1368876593452974e-12,7.194628146742916,2706.465152168989,19.75,0
sub-19,Stimulus/S 12,5.085934901641736e-12,7.284565859058444e-13,1.936511651831366e-12,6.941990603080127,2711.831791759091,19.0,0
sub-19,Stimulus/S 12,1.6023370966166218e-12,5.324945272986629e-13,3.0430930878496767e-12,6.649249489919391,2713.8211620434736,19.0,0
sub-19,Stimulus/S 12,2.217635816583858e-12,6.473033098103615e-13,3.3428965388835806e-12,6.426037616534282,2714.543588028774,18.25,0
sub-19,Stimulus/S 12,3.0755512454151124e-12,1.176599184622367e-12,3.662397468552551e-12,6.226083206695427,2716.7963728306204,19.25,0
sub-19,Stimulus/S 12,1.84862218361463e-12,6.006292925723078e-13,2.1278359751121472e-12,5.9883286098336255,2720.7521549788335,18.5,0
sub-19,Stimulus/S 12,1.0306353995446535e-12,5.284537517119102e-13,2.2389893360451815e-12,5.996380941976877,2710.5167430798547,18.75,0
sub-19,Stimulus/S 12,1.7298113774099144e-12,7.006361819520077e-13,2.4465275612275933e-12,5.7570698776950655,2719.00954326848,17.25,0
sub-19,Stimulus/S 12,1.5240126207212897e-12,4.954808076166196e-13,3.958997537626327e-12,5.571566729460977,2716.415409331261,18.75,0
sub-19,Stimulus/S 12,7.570203292083116e-12,4.896954970041282e-12,8.032953783107094e-12,5.410160891612271,2711.9733328874813,20.0,0
sub-19,Stimulus/S 12,1.3945471609483644e-12,6.935214157098341e-13,2.6070503775169794e-12,5.3612080827411255,2721.647760667255,16.75,0
sub-19,Stimulus/S 12,1.4116182250067059e-12,4.774920559770148e-13,2.0526146803249525e-12,5.208571516445535,2705.5890764125375,8.25,0
sub-19,Stimulus/S 12,2.266861957096211e-12,9.960843455228975e-13,8.210268950963846e-12,5.274231880815349,2710.0060342336296,11.25,0
sub-19,Stimulus/S 12,1.4071157976546945e-12,4.908391173694842e-13,2.4067486481694784e-12,5.8721601035707565,2712.4119111823607,11.0,0
sub-19,Stimulus/S 12,7.679731964056592e-13,5.100909145689025e-13,2.7458558203554917e-12,5.969900705194032,2719.9990806985757,9.0,0
sub-19,Stimulus/S 12,1.2868238330045088e-12,6.068359542162017e-13,6.8296953661496425e-12,6.307787908598413,2707.490838667286,10.5,0
sub-19,Stimulus/S 12,1.23719047427827e-12,6.264971862063982e-13,2.006167420806402e-12,6.362030862695246,2719.7634888641123,17.75,0
sub-19,Stimulus/S 12,1.7409371294473364e-12,5.780952377718979e-13,4.242763244386756e-12,6.108728767019366,2718.080868064234,18.0,0
sub-19,Stimulus/S 12,1.0550978195415086e-12,5.718100480022458e-13,2.1553388581585055e-12,6.039212304429691,2712.1349532734007,13.25,0
sub-19,Stimulus/S 12,7.380190154480048e-13,4.418999106061747e-13,8.589082480468737e-12,5.8829467772484065,2721.9636392171487,18.25,0
sub-19,Stimulus/S 12,9.607945679904391e-12,3.7578900553396305e-12,2.129692237992741e-11,5.954677172667741,2709.639838917224,16.5,0
sub-19,Stimulus/S 12,8.687386655802855e-13,4.3573872763750874e-13,2.2596497359311383e-12,5.769815098086289,2717.7989973209824,17.75,0
sub-19,Stimulus/S 12,9.237832196093859e-13,4.888474376477918e-13,4.419188566075057e-12,5.558716714349398,2711.3768117540926,20.5,0
sub-19,Stimulus/S 12,8.855083016241542e-13,4.054901780570368e-13,2.2016915753613965e-12,5.542805644566641,2724.1013244247533,16.75,0
sub-19,Stimulus/S 12,1.3138627178715685e-12,5.968529343653533e-13,2.443676196791121e-12,5.427678909625926,2714.48344559368,20.25,0
sub-19,Stimulus/S 12,1.1820315697353822e-12,4.4278424659644444e-13,2.4127971373359888e-12,5.270845836056855,2715.23556542505,15.75,0
sub-19,Stimulus/S 12,1.251506917363117e-12,4.2360481520078174e-13,2.9603288363666037e-12,5.144494980914806,2718.4060186613506,17.0,0
sub-19,Stimulus/S 13,1.335717557192368e-12,5.016497435028381e-13,4.479919452490032e-12,5.08671949482417,2713.9303022877093,15.25,0
sub-19,Stimulus/S 13,9.26622111141145e-13,5.582196619014757e-13,2.8979916546639646e-12,5.09399474252912,2705.4421091504464,15.5,0
sub-19,Stimulus/S 13,1.0976902003882751e-12,5.425706978318907e-13,2.986938780860337e-12,5.09788545247645,2704.839285539943,15.75,0
sub-19,Stimulus/S 13,8.989841253182435e-13,4.869910972284122e-13,2.2108828726108762e-12,5.100041114446731,2705.0761785627815,16.25,0
sub-19,Stimulus/S 13,1.2370918051583399e-12,6.072683898996115e-13,6.768357723766553e-12,5.095440148294225,2707.1558727993784,17.0,0
sub-19,Stimulus/S 21,2.0117965023684263e-09,2.7357219352715035e-10,1.613612699704162e-08,6.589535022479122,2720.713512735097,14.25,0
sub-19,Stimulus/S 21,9.02319922201133e-10,1.0575556420203306e-10,3.2663076698180333e-09,6.549966464225008,2721.235373139137,14.75,0
sub-19,Stimulus/S 21,5.182490187975187e-10,1.1645266832834584e-10,1.911319542384852e-09,6.569086583296499,2721.3470679205197,15.0,0
sub-19,Stimulus/S 21,2.6879110206110966e-10,2.1725916202926594e-11,1.3074642717206347e-09,6.654296948033195,2716.8461089317516,16.0,0
sub-19,Stimulus/S 21,4.207482938720364e-12,8.305060795683214e-13,5.072295623481991e-11,6.715465273734362,2713.0474748500374,16.5,0
sub-19,Stimulus/S 22,7.761317718410079e-13,5.302021635608422e-13,2.6559400740266707e-12,6.780451325576505,2712.386311918114,16.25,0
sub-19,Stimulus/S 22,7.959856586147112e-13,4.547203303473681e-13,1.6918974806489592e-12,6.554723032841949,2719.254289503796,15.75,0
sub-19,Stimulus/S 22,6.873255978470566e-12,2.447757658864543e-12,2.205202752273588e-11,6.194304253583669,2714.6664962665586,9.25,0
sub-19,Stimulus/S 22,6.270645247319104e-13,3.6452056441753867e-13,1.4287284346561848e-12,5.917678463646723,2719.095144036257,18.5,0
sub-19,Stimulus/S 22,7.287223561759166e-13,2.9904145120362765e-13,1.3111615494091581e-12,5.646502228088304,2721.4726474143185,19.0,0
sub-19,Stimulus/S 22,8.195943507954203e-13,2.994802594424122e-13,2.411059549124293e-12,5.421143505532156,2717.523808549816,16.75,0
