subject,blink_rate,alpha_power
sub-02,21.002100210021073,3.809706811885166e-06
sub-02,9.001800360072023,3.894753506156605e-06
sub-02,9.000450022501115,3.963129776925948e-06
sub-02,6.001200240048016,3.972612790372851e-06
sub-02,6.000900135020231,3.8342173807372545e-06
sub-02,12.001800270040533,3.9454998413127385e-06
sub-02,6.000600060005987,4.166003169309735e-06
sub-02,31.43306186598092,4.341444308443957e-06
sub-02,0.0,4.955575251652793e-06
sub-02,0.0,6.115113379578784e-06
sub-02,49.953168904152456,4.528993758799484e-06
sub-02,60.0,3.355492337610943e-06
sub-02,0.0,3.7721780239761518e-06
sub-02,60.0,5.30997243429357e-06
sub-02,0.0,7.316010779396983e-06
sub-02,27.00405060759104,6.087378404927429e-06
sub-02,24.002400240024084,5.416867190222154e-06
sub-02,18.003600720143943,6.488747310800093e-06
sub-02,12.001800270040533,5.5595139027900705e-06
sub-02,6.000600060006021,4.940730818596536e-06
sub-02,21.00315047257081,5.08033572568482e-06
sub-02,6.000600060006021,4.460718192077044e-06
sub-02,3.0006001200239902,6.042064452992091e-06
sub-02,9.000900090009031,6.347119027935064e-06
sub-02,33.00495074261127,6.374287148700354e-06
sub-02,15.00225033755075,5.181543032614892e-06
sub-02,15.002250337550578,5.233277574209989e-06
sub-02,3.0003000300029936,6.159664470541679e-06
sub-02,30.006001200239904,6.783721937240878e-06
sub-02,8.572244975712046,5.666785450015941e-06
sub-02,60.0,4.128570171689116e-06
sub-02,0.0,4.657571432309074e-06
sub-02,0.0,4.089054249780015e-06
sub-03,29.323036080608183,1.1358725603101377e-05
sub-03,0.0,4.337233849721544e-06
sub-03,0.0,5.999207690311258e-06
sub-03,0.0,6.054702567040334e-06
sub-03,24.022821680596536,5.165978348362112e-06
sub-03,30.004500675101287,6.5464203305087995e-06
sub-03,27.00405060759112,5.7508163038083265e-06
sub-03,21.0031504725709,5.312501641267808e-06
sub-03,21.003150472570873,5.915463179844262e-06
sub-03,12.001200120012008,6.919227626183739e-06
sub-03,18.002700405060747,6.94137539255241e-06
sub-03,21.003150472570933,5.915230698354502e-06
sub-03,27.002700270026942,6.29226212256842e-06
sub-03,18.0027004050608,5.8880510748884535e-06
sub-03,27.00405060759112,5.666029506974544e-06
sub-03,21.003150472570873,5.901118137052105e-06
sub-03,12.001800270040498,6.0824820374760805e-06
sub-03,12.001800270040533,6.6795754475379065e-06
sub-03,12.001200120011974,6.491467486713805e-06
sub-03,24.002400240024016,7.232907317056243e-06
sub-03,12.001800270040533,6.277011542092656e-06
sub-03,9.001350202530347,5.506489000873984e-06
sub-03,15.001500150015053,6.475636992895884e-06
sub-03,18.003600720144046,7.203530885401489e-06
sub-03,21.002100210020956,8.534546737334195e-06
sub-03,15.003000600120039,6.543361677991853e-06
sub-03,18.00180018001796,9.586611809984313e-06
sub-03,15.002250337550665,6.736657238471446e-06
sub-03,15.001500150014968,8.446993707066727e-06
sub-03,12.002400480096032,1.0554090871032591e-05
sub-03,81.00405020251003,6.44789836882813e-06
sub-03,72.01440288057618,5.989790865123292e-06
sub-03,90.01350202530399,6.8588825168475956e-06
sub-03,40.00571510215731,6.947812531771157e-06
sub-03,60.0,5.947875575909816e-06
sub-03,60.0,4.845612077814745e-06
sub-03,0.0,6.123446053230587e-06
sub-03,60.0,6.036670551998306e-06
sub-03,67.26736702238102,2.8229733792819232e-05
sub-03,60.0,2.4089331921884156e-05
sub-03,0.0,2.6565842917663586e-05
sub-03,60.0,9.278882730885219e-06
sub-03,0.0,1.2100592087401405e-05
sub-03,39.0078015603121,1.1233967353784448e-05
sub-03,24.00240024002395,3.0458680223429835e-05
sub-03,48.00720108016213,3.8431880271422444e-05
sub-03,60.00600060005987,6.21177993698199e-05
sub-03,33.00495074261146,3.252662843422496e-05
sub-03,42.008401680336114,5.27339715728281e-05
sub-03,63.00630063006286,5.371159905707664e-05
sub-03,54.0081012151824,1.2361067759001032e-05
sub-03,39.003900390038915,8.487549832835747e-06
sub-03,42.00630094514187,6.857991177927896e-06
sub-03,30.004500675101156,6.6827461217210464e-06
sub-03,24.003600540080924,7.25878929746172e-06
sub-03,0.0,6.423505490148398e-06
sub-03,0.0,5.5735860017426165e-06
sub-03,0.0,6.223002744266312e-06
sub-03,0.0,7.369106418074357e-06
sub-03,0.0,1.4995361290043055e-05
sub-03,0.0,2.1707749925207088e-05
sub-04,14.160724219895817,6.230223836099208e-06
sub-04,59.46481665014865,4.494523118606071e-06
sub-04,60.0,3.6228830362706757e-06
sub-04,0.0,4.460052784131534e-06
sub-04,0.0,1.1321596544008604e-05
sub-04,15.013512160944861,8.146985819303857e-06
sub-04,24.003600540080996,8.284354189576987e-06
sub-04,12.001800270040498,6.37190910326723e-06
sub-04,18.00270040506077,6.205896654391722e-06
sub-04,27.002700270027017,7.182360112637432e-06
sub-04,33.00495074261137,7.548581567768649e-06
